,Date,Open,High,Low,Close,(High-Low),(Open-Close)
122,2022-05-06,12840.85,12896.40,12726.55,12820.90,169.85,19.95
123,2022-05-05,13181.75,13284.55,12968.15,13008.50,316.40,173.25
124,2022-05-04,13462.20,13510.70,13068.20,13108.80,442.50,353.40
125,2022-05-02,13397.30,13479.50,13323.50,13460.25,156.00,-62.95
126,2022-04-29,13507.10,13765.95,13429.25,13462.85,336.70,44.25
127,2022-04-28,13473.35,13547.15,13377.60,13480.00,169.55,-6.65
128,2022-04-27,13365.65,13416.45,13258.80,13358.15,157.65,7.50
129,2022-04-26,13384.40,13505.65,13376.05,13444.10,129.60,-59.70
130,2022-04-25,13441.95,13516.80,13263.10,13296.75,253.70,145.20
131,2022-04-22,13786.80,13786.80,13516.60,13569.85,270.20,216.95
132,2022-04-21,13703.60,13838.10,13670.25,13821.30,167.85,-117.70
133,2022-04-20,13572.90,13722.35,13492.05,13660.65,230.30,-87.75
134,2022-04-19,13774.35,13853.15,13413.45,13522.45,439.70,251.90
135,2022-04-18,13699.40,13823.45,13612.30,13717.30,211.15,-17.90
136,2022-04-13,13761.15,13849.15,13698.70,13772.75,150.45,-11.60
137,2022-04-12,13801.00,13879.50,13661.50,13744.65,218.00,56.35
138,2022-04-11,13827.00,13948.25,13818.90,13837.85,129.35,-10.85
139,2022-04-08,13875.05,13923.10,13715.40,13838.60,207.70,36.45
140,2022-04-07,13786.70,13972.45,13779.15,13815.00,193.30,-28.30
141,2022-04-06,13786.55,13907.65,13744.50,13758.45,163.15,28.10
142,2022-04-05,13837.20,13903.55,13777.45,13809.25,126.10,27.95
143,2022-04-04,13630.45,13806.50,13571.45,13789.25,235.05,-158.80
144,2022-04-01,13609.90,13647.05,13524.00,13579.90,123.05,30.00
145,2022-03-31,13755.35,13800.65,13542.30,13584.10,258.35,171.25
146,2022-03-30,13831.35,13840.90,13703.35,13745.60,137.55,85.75
147,2022-03-29,13602.95,13791.70,13564.05,13771.40,227.65,-168.45
148,2022-03-28,13642.20,13722.05,13491.90,13562.25,230.15,79.95
149,2022-03-25,13771.80,13785.65,13530.30,13607.05,255.35,164.75
150,2022-03-24,13501.90,13783.45,13474.60,13724.50,308.85,-222.60
151,2022-03-23,13582.45,13725.15,13541.45,13569.65,183.70,12.80
152,2022-03-22,13554.50,13577.75,13400.90,13513.15,176.85,41.35
153,2022-03-21,13632.10,13749.40,13530.90,13549.55,218.50,82.55
154,2022-03-17,13439.65,13566.15,13436.35,13546.05,129.80,-106.40
155,2022-03-16,13446.50,13447.30,13256.10,13374.50,191.20,72.00
156,2022-03-15,13358.60,13556.10,13250.10,13318.85,306.00,39.75
157,2022-03-14,13420.35,13452.40,13315.10,13351.90,137.30,68.45
158,2022-03-11,13073.65,13426.50,13031.10,13399.00,395.40,-325.35
159,2022-03-10,13170.55,13227.10,13041.55,13077.05,185.55,93.50
160,2022-03-09,12929.75,13130.50,12864.30,13059.25,266.20,-129.50
161,2022-03-08,12534.00,12873.75,12524.85,12844.85,348.90,-310.85
162,2022-03-07,12436.75,12570.70,12290.90,12546.85,279.80,-110.10
163,2022-03-04,12558.50,12731.05,12478.10,12600.15,252.95,-41.65
164,2022-03-03,12793.60,12815.30,12617.15,12643.75,198.15,149.85
165,2022-03-02,12841.25,12938.85,12637.80,12689.55,301.05,151.70
166,2022-02-28,12807.40,12946.20,12707.90,12927.60,238.30,-120.20
167,2022-02-25,12622.85,12925.50,12593.10,12899.85,332.40,-277.00
168,2022-02-24,12677.75,12808.70,12467.90,12500.10,340.80,177.65
169,2022-02-23,13010.90,13077.65,12952.50,12976.30,125.15,34.60
170,2022-02-22,12807.30,12976.35,12768.45,12954.50,207.90,-147.20
171,2022-02-21,13168.40,13221.60,12999.25,13029.90,222.35,138.50
172,2022-02-18,13303.75,13303.75,13189.50,13208.80,114.25,94.95
173,2022-02-17,13472.15,13475.75,13310.00,13324.40,165.75,147.75
174,2022-02-16,13421.05,13519.75,13332.70,13425.10,187.05,-4.05
175,2022-02-15,13192.95,13368.10,13162.55,13356.90,205.55,-163.95
176,2022-02-14,13334.60,13482.70,13218.25,13252.15,264.45,82.45
177,2022-02-11,13524.90,13583.25,13452.80,13510.30,130.45,14.60
178,2022-02-10,13602.80,13646.50,13505.85,13613.05,140.65,-10.25
179,2022-02-09,13467.40,13612.20,13447.10,13570.30,165.10,-102.90
180,2022-02-08,13390.70,13508.55,13318.20,13444.70,190.35,-54.00
181,2022-02-07,13569.15,13590.55,13313.50,13381.70,277.05,187.45
182,2022-02-04,13637.85,13688.55,13554.40,13580.30,134.15,57.55
183,2022-02-03,13656.85,13667.05,13561.25,13617.60,105.80,39.25
184,2022-02-02,13517.20,13656.95,13484.20,13643.65,172.75,-126.45
185,2022-02-01,13280.05,13495.00,13222.70,13477.50,272.30,-197.45
186,2022-01-31,13081.10,13260.65,13068.85,13179.90,191.80,-98.80
187,2022-01-28,12850.85,13208.80,12834.20,12983.05,374.60,-132.20
188,2022-01-27,12973.80,12981.00,12767.40,12847.90,213.60,125.90
189,2022-01-25,12910.30,13120.45,12776.00,13092.10,344.45,-181.80
190,2022-01-24,13225.10,13238.60,12846.55,12998.60,392.05,226.50
191,2022-01-21,13409.65,13417.60,13150.70,13243.05,266.90,166.60
192,2022-01-20,13695.90,13712.75,13415.75,13454.90,297.00,241.00
193,2022-01-19,13701.05,13726.25,13536.20,13682.70,190.05,18.35
194,2022-01-18,13887.20,13962.90,13676.80,13697.60,286.10,189.60
195,2022-01-17,13954.75,13970.15,13819.70,13862.45,150.45,92.30
196,2022-01-14,14024.55,14082.85,13935.65,13964.15,147.20,60.40
197,2022-01-13,13856.50,14097.45,13843.60,14051.15,253.85,-194.65
198,2022-01-12,13935.20,13939.25,13765.25,13833.70,174.00,101.50
199,2022-01-11,13881.70,13974.60,13834.15,13854.25,140.45,27.45
200,2022-01-10,13896.05,13905.40,13800.40,13858.95,105.00,37.10
201,2022-01-07,13949.90,13961.75,13841.95,13857.95,119.80,91.95
202,2022-01-06,13988.50,14066.80,13878.30,13912.25,188.50,76.25
203,2022-01-05,14090.30,14136.15,13968.95,13999.85,167.20,90.45
204,2022-01-04,14207.05,14239.45,14017.55,14040.65,221.90,166.40
