,Date,Open,High,Low,Close,(High-Low),(Open-Close)
74,2022-07-13,25209.10,25306.40,24610.75,24727.20,695.65,481.90
75,2022-07-12,24885.15,25363.50,24877.95,25098.45,485.55,-213.30
76,2022-07-11,24313.30,25069.15,24300.65,25005.50,768.50,-692.20
77,2022-07-08,24378.35,24385.30,24132.50,24347.65,252.80,30.70
78,2022-07-07,24257.00,24304.90,24026.45,24109.15,278.45,147.85
79,2022-07-06,24162.60,24267.25,23825.55,24079.20,441.70,83.40
80,2022-07-05,24238.70,24457.55,24132.25,24229.00,325.30,9.70
81,2022-07-04,24030.10,24281.55,23973.35,24078.20,308.20,-48.10
82,2022-07-01,25009.55,25228.00,23901.75,24122.85,"1,326.25",886.70
83,2022-06-30,24993.60,25309.30,24975.40,25108.50,333.90,-114.90
84,2022-06-29,24270.05,25039.00,24243.55,24972.65,795.45,-702.60
85,2022-06-28,24165.30,24517.90,24144.70,24477.95,373.20,-312.65
86,2022-06-27,24356.95,24374.45,24173.45,24238.15,201.00,118.80
87,2022-06-24,23904.40,24062.65,23810.60,24021.30,252.05,-116.90
88,2022-06-23,23862.15,24003.25,23458.50,23692.55,544.75,169.60
89,2022-06-22,24164.10,24166.75,23689.70,23792.05,477.05,372.05
90,2022-06-21,23884.85,24455.55,23708.60,24355.95,746.95,-471.10
91,2022-06-20,24170.90,24230.20,23376.85,23701.30,853.35,469.60
92,2022-06-17,24234.80,24560.50,24062.00,24155.15,498.50,79.65
93,2022-06-16,25125.55,25231.65,24220.40,24370.00,"1,011.25",755.55
94,2022-06-15,25287.75,25352.20,24835.35,24877.00,516.85,410.75
95,2022-06-14,25215.90,25481.00,25132.45,25177.70,348.55,38.20
96,2022-06-13,25359.95,25524.60,25138.40,25317.40,386.20,42.55
97,2022-06-10,26036.70,26227.30,25684.05,25808.50,543.25,228.20
98,2022-06-09,25928.85,26329.55,25897.10,26287.70,432.45,-358.85
99,2022-06-08,26140.65,26284.50,25863.10,25976.25,421.40,164.40
100,2022-06-07,25831.95,26198.25,25734.35,26101.90,463.90,-269.95
101,2022-06-06,25964.40,26045.00,25717.85,25830.35,327.15,134.05
102,2022-06-03,26153.15,26288.80,25835.85,25882.40,452.95,270.75
103,2022-06-02,25383.55,26012.60,25312.30,25968.65,700.30,-585.10
104,2022-06-01,25520.90,25691.40,25317.60,25456.45,373.80,64.45
105,2022-05-31,25839.70,26009.15,25491.60,25641.10,517.55,198.60
106,2022-05-30,25753.50,25994.65,25671.15,25921.10,323.50,-167.60
107,2022-05-27,26032.60,26047.85,25362.10,25511.85,685.75,520.75
108,2022-05-26,25914.45,25973.35,25120.85,25760.45,852.50,154.00
109,2022-05-25,26044.00,26105.80,25587.95,25778.00,517.85,266.00
110,2022-05-24,26143.30,26288.75,25696.80,25824.20,591.95,319.10
111,2022-05-23,26619.55,26767.60,26006.25,26052.00,761.35,567.55
112,2022-05-20,26285.80,26517.95,26110.70,26433.50,407.25,-147.70
113,2022-05-19,25754.35,25938.60,25669.60,25839.75,269.00,-85.40
114,2022-05-18,26540.25,26686.95,26261.30,26314.90,425.65,225.35
115,2022-05-17,25885.50,26523.45,25730.90,26455.85,792.55,-570.35
116,2022-05-16,25482.25,25825.15,25218.20,25657.40,606.95,-175.15
117,2022-05-13,26048.70,26239.10,25155.45,25347.65,"1,083.65",701.05
118,2022-05-12,26427.40,26581.95,25590.85,25719.15,991.10,708.25
119,2022-05-11,26596.05,27229.45,26102.90,26464.70,"1,126.55",131.35
120,2022-05-10,27425.35,27700.35,26482.05,26581.35,"1,218.30",844.00
121,2022-05-09,27968.85,28097.20,27480.05,27570.25,617.15,398.60
122,2022-05-06,27901.60,28442.35,27783.80,28339.00,658.55,-437.40
